"orderfield","Summary_sp","Year","TRIP_ID","Common_Name","Scientific_Name","Total_Count","Total_weight","SABLE_SET_TYPE"
5,"Roundfish Species",2011,72067,"Lingcod","OPHIODON ELONGATUS",,233,"NO SET TYPE"
5,"Roundfish Species",2011,72067,"Spiny dogfish","SQUALUS ACANTHIAS",,95,"NO SET TYPE"
5,"Roundfish Species",2011,72067,"Sablefish","ANOPLOPOMA FIMBRIA",,92,"NO SET TYPE"
5,"Roundfish Species",2011,72067,"Sixgill shark","HEXANCHUS GRISEUS",,6,"NO SET TYPE"
5,"Roundfish Species",2011,72067,"Walleye pollock","THERAGRA CHALCOGRAMMA",,2,"NO SET TYPE"
5,"Roundfish Species",2011,72067,"Spotted ratfish","HYDROLAGUS COLLIEI",,1,"NO SET TYPE"
4,"Rockfish Species",2011,72067,"Redbanded rockfish","SEBASTES BABCOCKI",,5,"NO SET TYPE"
4,"Rockfish Species",2011,72067,"Yelloweye rockfish","SEBASTES RUBERRIMUS",,5,"NO SET TYPE"
4,"Rockfish Species",2011,72067,"Rougheye/blackspotted rockfish complex","SEBASTES ALEUTIANUS",,2,"NO SET TYPE"
4,"Rockfish Species",2011,72067,"Redstripe rockfish","SEBASTES PRORIGER",1,,"NO SET TYPE"
3,"Flatfish Species",2011,72067,"Arrowtooth flounder","ATHERESTHES STOMIAS",,59,"NO SET TYPE"
3,"Flatfish Species",2011,72067,"Pacific halibut","HIPPOGLOSSUS STENOLEPIS",,8,"NO SET TYPE"
3,"Flatfish Species",2011,72067,"Dover sole","MICROSTOMUS PACIFICUS",1,,"NO SET TYPE"
2,"Invertebrate Species",2011,72067,"Giant pacific octopus","ENTEROCTOPUS DOFLEINI",,23,"NO SET TYPE"
2,"Invertebrate Species",2011,72067,"Oregontriton","FUSITRITON OREGONENSIS",3,,"NO SET TYPE"
2,"Invertebrate Species",2011,72067,"Brittle stars","OPHIURAE",3,,"NO SET TYPE"
2,"Invertebrate Species",2011,72067,,"EUSPIRA PALLIDA",1,,"NO SET TYPE"
2,"Invertebrate Species",2011,72067,"Hermit crabs","PAGURIDAE",1,,"NO SET TYPE"
